X,Y,n,date
7.36091,35.29042,"Zoui (Vazaivi, cf. DACL s.v. Zoui, Numidia)",
6.46781,35.48527,Timgad (Numidia),
6.46781,35.48527,Timgad (Numidia),400
8.12085,35.40711,Tebessa (Theveste in Proconsularis),424
8.59523,34.97874,Thelepte,404
9.12102,35.23872,"Sbeitla (Sufetula, Africa Proconsularis)",400
9.20469,35.85431,Mactar,400
8.4497,35.5648,"Ammaedara (Ha""idra)",400
9.2194,36.42272,Dougga (Thugga),424
7.90308,36.07764,Madauros,
10.31294,36.84701,Carthage,324
10.31294,36.84701,Carthage,324
10.31294,36.84701,Carthage,
10.31294,36.84701,Carthage,383
10.31294,36.84701,Carthage,400
10.31294,36.84701,Carthage,400
10.31294,36.84701,Carthage,400
10.31294,36.84701,Carthage,400
10.31294,36.84701,Carthage,
10.31294,36.84701,Carthage,500
10.31294,36.84701,Carthage,424
10.31294,36.84701,Carthage,
5.40899,36.19044,"Sitifis (Setif), the provincial capital",378
5.40899,36.19044,"Sitifis (Setif), the provincial capital",379
5.40899,36.19044,"Sitifis (Setif), the provincial capital",500
4.94851,36.26056,Sertei (Kherbet Guidra),400
7.75513,36.88365,"Hippo Regius (Annaba, Algeria, Augustine's see)",324
7.75513,36.88365,"Hippo Regius (Annaba, Algeria, Augustine's see)",
7.75513,36.88365,"Hippo Regius (Annaba, Algeria, Augustine's see)",360
7.75513,36.88365,"Hippo Regius (Annaba, Algeria, Augustine's see)",
7.75513,36.88365,"Hippo Regius (Annaba, Algeria, Augustine's see)",300
5.7375,36.31498,Djemila (Cuicul in Numidia),399
5.7375,36.31498,Djemila (Cuicul in Numidia),399
5.7375,36.31498,Djemila (Cuicul in Numidia),400
5.7375,36.31498,Djemila (Cuicul in Numidia),399
6.61541,36.36865,Cirta,300
2.44094,36.59395,Tipasa,400
2.44094,36.59395,Tipasa,424
2.44094,36.59395,Tipasa,400
2.44094,36.59395,Tipasa,400
3.23147,36.80848,Rusguniae (on the coast of Mauretania Caesariensis),424
1.33262,36.16645,"Orleansville (Castellum Tingitanum, modern EI Asnam):",329
1.33262,36.16645,"Orleansville (Castellum Tingitanum, modern EI Asnam):",324
-1.03148,34.90362,Altava,337
3.00431,43.18359,Narbo,400
32.22944,31.12542,Tyre,325
23.34289,42.72283,Serdica,399
23.34289,42.72283,Serdica (Sofia),400
22.78735,46.12435,Brad (Syria),400
16.48343,43.53956,Salona,329
16.48343,43.53956,Salona,
16.48343,43.53956,Salona,374
13.84112,44.86957,"Pola (Pula, Croatia)",329
13.84112,44.86957,"Pola (Pula, Croatia)",399
17.59861,43.04639,Narona (Vid),424
15.22378,44.1155,"Iader (Zadar, Croatia)",400
13.7717,45.64915,Trieste,
13.7717,45.64915,Trieste,374
13.37095,45.76963,Aquileia,359
13.37095,45.76963,Aquileia,354
13.37095,45.76963,Aquileia,399
4.29904,46.94503,Augustodunum,329
4.6308,43.67762,Arles,400
3.08601,45.77865,Monferrand,400
8.70439,48.89338,Portus,400
1.47591,49.39713,Lyon,400
11.86305,43.47127,Arezzo,352
0.19589,51.35797,Lullingstone,374
8.49263,40.10439,Cornus,374
-1.03148,34.90362,Altava,337
0,0,,
