Location name,Region,Page,Pleiades ID (pleiades.stoa.org/ ),y/lat,x/lng,Number of buildings,Decription,Date - text,Date - precise,Date - post quem,Date - ante quem,Ceased to exist,Cited,Other literature in text,Notes,Coded by,Notes 2
Bou Takrematen (ca. 50 miles northwest of Timgad),North Africa,127,-,-,-,1,a church,only by 4th c.,,301,400,,"(Gui et al. 1992, and Y. Duval 1982, 154 fig.",,"168 photo of
 the mensa",Kneblová,
Bourkika (ca. 10 miles southeast of Tip as a),North Africa,127,-,36.4942992,2.4775236,1,meager ruins of a chapel,-,,-,-,,"Y. Duval 1982, 1.384ff.",,lat and long nalezeno na mapy.cz,Kneblová,
"Burdi-Hedar (Burdj Hedar, Syria)",The Eastern Empire,119,-,-,-,1,"""West church"", a small one",of the mid-4th c.,,325,374,,"Butler 1929, 32; Nussbaum 1965, 1.58",,,Průšová,
Caesarea (Cherchel),North Africa,127,-,36.6081364,2.1904547,1,a martyr's shrine or chapel (cella),of the 4th c. k,,301,400,,"Y. Duval 1982, 381£.",,lat and long nalezeno na mapy.cz,Kneblová,
Canosa,Italy with Sardinia and Corsica,133,-,-,-,1,a diocese therefore a cathedral?,342,342,,,,"Testini et al. 1989, 19",,,Jana,
Capernaum (Palestine),The Eastern Empire,119,-,-,-,1,"indications a house is that of Peter where Jesus visited, and where subsequently worship was conducted, making it a house-church, ",-,,-,-,,Corbo (1993) 71ff.,,,Průšová,
Chiusi,Italy with Sardinia and Corsica,133,-,-,-,1,a cemetery basilica,pre-322,,,322,,"Testini et al. 1989, 19ff., 81; Cipollone 2003, xxvii, xxx",,,Jana,
Concordia,Italy with Sardinia and Corsica,133,-,-,-,1,a basilica apostolorum,"380s, 388",,380,389,,"(Zovatto 1950, 13); (Pavan 1987, 22f.; Croce Da Villa 1989,21; Testini et al. 1989,190f.; Caillet 1993, 114f., 122, and fig. 92)",,,Milan,
Concordia,Italy with Sardinia and Corsica,133,-,-,-,1,a triconch mastyr chapel with a pair of side aisles,380s,,380,389,,"Tavano 1989a, 174, 176; Tavano 1989b, 46, 49",,,Jana,
Dimitrias,"Greece including Salona, and lower Danube",124,-,,,1,a basilica with side aisles,ca. 400,,395,404,,"Pallas 1997, 54f., fig. 32",,,Kneblová,
Diocaesareia (Cilicia),The Eastern Empire,120,-,-,-,1,a cemetery church memorializing a martyr,of the second half of the 4th c.,,351,400,,"Keil and Wilhelm 1931,60",,,Průšová,
Diocaesareia (Cilicia),The Eastern Empire,120,-,-,-,1,"St. Stephens, ca. 30 x 20 m",second half of 4th c.,,351,400,,"Keil and Wilhelm 1931, 61f.",,,Průšová,
el-Kefr (Syria),The Eastern Empire,122,-,-,-,1,"a church, a gift by a great imperial official, dux et comes",of 392,392,,,,"Littmann et al. 1921,3.309 no. 670, the dedicatory inscription; Lassus 1947,251",,,Průšová,
Epidaurus,"Greece including Salona, and lower Danube",124,-,37.59597222,23.079417,1,a basilica with two pairs of side aisles,probably of the late 4th c,,375,400,,"Orlandos 1952-57, 51, fig. 26; Sodini 1970,705",,"long, lat nalezeno na Google maps",Kneblová,
"Euchaïta (Avkat, roughly 300 km NE of Ankara)",The Eastern Empire,120,-,-,-,1,a grand martyr-memorial,described in the 380s,,-,389,,"Delehaye 1923, 130f.; Bernard 1968, 302, 305",,,Průšová,
Faenza,Italy with Sardinia and Corsica,133,-,-,-,1,a diocese therefore a cathedral?,313–314 (or 4th to 5th c.),,313,314,,"Testini et al. 1989, 19ff., 147; Posta 1989, 260",,,Milan,
"Fafirtin (Fafertin, Syria)",The Eastern Empire,120,-,-,-,1,"""a comparatively large"" rural church, ""the earliest dated ... basilica!"" church in the province, built under (that is, by) its bishop",datable to 372,372,,,,"Butler et al. 1930, 327f., ilL 370; Lassus 1947,63 fig. 32, 177, 253; Lassus and Tchalenko 1951, 79","Taft 1968, 342",,Průšová,
Gaza,The Eastern Empire,121,-,-,-,1,the bishop builds a church,in the third quarter of the 4th c.,,351,375,,"Galvao-Sobrinho 2009, ch. 7 n. 1094, Acta Sanctorum Feb. 26, Vita Porph. p. 648",,"pleiades: neurčité, více možností",Průšová,
Geneva Churches,The Northwest Empire,141,-,46.201141,6.148851,1,Church,mid 4th century,,325,374,,"Bonnet and Privati 1990,",,,Juro,
"Gerasa (Jerash, Syria)",The Eastern Empire,121,-,-,-,1,an oriented cathedral with side aisles but there are other features probably diminishing the laity space further,of the 370s? or third quarter of the 4th c.,,351,379,,"Crowfoot 1940, 1.324; Crowfoot 1941, 58, 60 fig. 12; and to be noted is the absence of any church in the city certainly earlier than 464, in B. Ward-Perkins 1998,371-410 passim",,pleiades: 2 možnosti,Průšová,
Henchir el Abiod (Reguibet Garres),North Africa,129,-,34.786111,10.638056,1,church,a late-4th c.,,375,400,,"(Y. Duval 1982, 144f.; Gui et 1992, 1.296ff.)",,coordinates from http://www.geographic.org/,Trojanová,
Isruq (Syria),The Eastern Empire,121,-,-,-,1, a church,mid-fourth c.,,325,374,,"with nothing further known nor location shown on maps in Tchalenko 1953-58, 1.336",,,Průšová,
"Kebira (Kherbet, near Sitifis)",North Africa,129,-,-,-,1,a church,second half of the 4th c.,,351,400,,"Gui et al. 1992, 1.115f",,,Trojanová,
Kelibia (near the tip of Cape Bon),North Africa,129,-,36.845582,11.10001,1,west-facing church,4th c,,301,400,,"Cintas and Duval 1958, dating only the second phase, p. 245; Testini 1959, 123, ""late 4th c. at the latest"", and  a post-400 date for burials and chapels, pace Duval; N. Duval, 1975, 85",,coordinates from http://www.geographic.org/,Trojanová,
Kherbet El Ousfane,North Africa,129,-,35.858056,6.156667,1,the church labeled the second,of the 2nd half of the 4th c,,351,400,,"Gui et al. 1992, 1.164f.",,coordinates from http://www.geographic.org/,Trojanová,
Kherbet Guidra,North Africa,129,-,-,-,1,suburban church,4th c.,,301,400,,"Gui et al. 1992,81ff.",,,Trojanová,
Koudiat Adjala,North Africa,129,-,-,-,1,a burial chapel,361,361,,,,"Y. Duval 1992, 328ff., 514)",,,Trojanová,
"Ksar el Kelb (Ain Touila, in Numidia north of Mascula)",North Africa,129,-,-,-,1,a memorial chapel to the martyr Marculus,4th c.,,301,400,,"Christofle 1938, 183, 186; Fevrier 1970a, 12; Y. Duval 1982,
 158-60, 680; Gui et al. 1992, 1.291ff.; 2.141 fig. 3",,,Trojanová,
"Laodicea Combusta (Kekaumene, Lycaonia)",The Eastern Empire,122,-,-,-,1,an ekklesia built by a bishop in Constantine's reign,Constantine's reign,,306,337,,"White 1990, 136; 1997, 171-78",,,Průšová,
Lodi,Italy with Sardinia and Corsica,134,-,-,-,1,a cemetery church,ca. 387,,382,391,,"Testini et al. 1989, 216",,,Jana,
Mediouna (Renault),North Africa,130,-,35.760073,-5.910067,1,a chapel (memoria) erected by two fathers to their martyr-sons,329,329,,,,"Y. Duval 1982, 1.402ff.",,coordinates from http://www.geographic.org/,Trojanová,
"Muline (Ugljan, a little north of Iader):","Greece including Salona, and lower Danube",124,-,44.1365614,15.0715022,1,a small martyr-church,of the second half of the 4th c.,,351,400,,"Uglesic 2002, 86-89",,,Kneblová,
Nazianzus (modern Nenizi in Cappadocia),The Eastern Empire,122,-,-,-,1,a church,standing by the 370s,,-,379,,"Mitchell 1993, 68",,,Průšová,
Negev area,The Eastern Empire,122,-,-,-,more_than_1,"small churches at Kurnub, Eboda, and Subeita",dated to the second half of the 4th c.,,351,400,,"Shereshevski 1991, 30 and 43 and 73 - the reference, thanks to J. Fitzgerald",,,Průšová,
Neocaesareia,The Eastern Empire,122,-,-,-,1,"Dirsi Farag on the Euphrates, a three-aisled basilica",built in the 340s,,340,349,,"Ulbert 1989,443",,,Průšová,
Pianottoli,The Northwest Empire,141,-,-,-,1,a church of the second half of the 4th c,mid 4th century,,351,400,,"N. Duval 1995b, 323)",,No spatial data found,Juro,
"Porec (Parentum on the map, Parenzo)","Greece including Salona, and lower Danube",125,-,45.2273828,13.5956942,1,vestiges of a room of a private house used for worship -> over-built by a basilica,in late 3rd c.,,275,300,,"Molajoli 1943, 10f.; Marusic 1978, 568; Cantino Wataghin 1989, 175f.; Caillet 1993, 305, fig. 214; Cuscito 1995, 96; Cuscito 1998, 186,201; Bratoz 1999, 429f., 435f.; Terry and Maguire 2007, 3","Molajoli 1943, 1 Off., 17, 25; Cantino Wataghin 1989, 174ff.","long, lat nalezeno na mapy.cz",Kneblová,
"Qirk Bizzeh (Qirkbize or Qirqbize, Syria)",The Eastern Empire,123,-,-,-,1,oriented rural church in a private house,1st half of the 4th c.,,301,350,,"Lassus and Tchalenko 1951, 97, 99, fig. 2-3; Tchalenko 1953-58, 1.319, 325, of the 320s; 2. pI. cv; Nussbaum 1965, 1.34; N. Duval 1978, 533; White 1990, 129",,,Průšová,
Qubbet es-Shih (Syria),The Eastern Empire,123,-,-,-,1,a small rural church,datable to the 4th c.,,300,325,,"Piccirillo 1981, 115-18",,,Juro,
Roueiha (Syria),The Eastern Empire,123,-,-,-,1,a church,4th c.,,301,400,,"Lassus 1947, 31",,,Juro,
Sagvar,The Northwest Empire,141,-,46.838525,18.102154,1,two chapels of the mid-4th c.,mid 4th century,,325,375,,"Burger 1966, 162",,,Juro,
Sagvar (Pannonia = Hungary),"Greece including Salona, and lower Danube",125,-,46.8222789,18.0750656,2,cemeterywith two chapels,4th c,,301,399,,"Burger 1966, 154,162",,"long, lat nalezeno na mapy.cz",Kneblová,
Shechem,The Eastern Empire,123,-,-,-,1,4th c. memorial,4th century,,300,325,,"Deichmann 1993, 85",,,Juro,
Sirmium (modern Mitrovica on the Save),"Greece including Salona, and lower Danube",125,-,44.97978,19.6095447,1,an oriented apsidal,from mid-fourth century,,325,374,,"cf. Boskovic (1974) 627ff. and fig. 18, and Duval (1979) 82ff",,"long, lat nalezeno na mapy.cz; in a cemetery to the east; with many points doubtful",Kneblová,
Sirmium (modern Mitrovica on the Save),"Greece including Salona, and lower Danube",126,-,44.97978,19.6095447,1,a St. Sinerus memorium,the early fourth century,,300,324,,"Boskovic 1974, 625ff.; Duval 1979, 66, 82",,"long, lat nalezeno na mapy.cz; in a cemetery to the west",Kneblová,
Sirmium (modern Mitrovica on the Save),"Greece including Salona, and lower Danube",126,-,44.97978,19.6095447,1,a well-preserved oriented apse,-,,-,-,,"cf. Boskovic (1974) 629ff. and fig. 18; Duval 1979, 84ff.",,"long, lat nalezeno na mapy.cz; across the river in the Macvanska cemetery; in Dyggve's term, a
 basilic discoperta?",Kneblová,
Skhira (Byzacena),North Africa,131,-,34.3,10.066667,1,the great church in the cemetery,4 th c.,,301,400,,"Nussbaum 1965, 1.204",,coordinates from http://www.geographic.org/,Trojanová,
Thebes in Thessaly,"Greece including Salona, and lower Danube",126,-,38.320066,23.318242,1,an original church,early 5 th c.,,401,424,,"Soteriou 1929,239",,"lying over the crypt ofS. Demeterlong, lat nalezeno na Google maps; the plan now lost",Kneblová,
Thessalonika,"Greece including Salona, and lower Danube",126,-,40.6403167,22.9352717,1,a now-lost small chapel for the cult ofSt. Demeter,,,-,-,,"Bakirtzis 1995, 60, correcting Spieser 1984, 114, 167, who would date both this and the St. George church to the 6th c.",,"underlying the 5 th c. basilica, an apsidal adaptation of rooms in a baths-building so as to enclose the Demetertomb",Kneblová,
Tigzirt (Iomnium on Numidia coast),North Africa,131,-,36.9,4.116667,1,ruins martyr chapel,4th or 5th c.,,301,500,,"Y. Duval 1982, 350",,coordinates from http://www.geographic.org/,Trojanová,
Upenna (province of Byzacena):,North Africa,132,-,-,-,1,church,4 th.c,,301,400,,"RaynaI1973, 34ff.",,,Trojanová,
Vico,The Northwest Empire,141,-,42.166274,8.805067,1,very small church,half of the 4th century,,351,400,,"very small (N. Duval 1995b, 329",,,Juro,
Çukurca (near Afyon in Turkey),The Eastern Empire,120,-,-,-,1,"an inscription announces the stone as part of «the house of God"", a now-lost church",perhaps of the 3rd c.,,201,300,,"Levick et al. 1993,82",,,Průšová,
Dura (Doura Europos),The Eastern Empire,120,893990,34.74722,40.730117,1,a house-church,by the 240s,,,249,,"Kraeling 1967, 3ff.; 10ff., 38, and passim; Krautheimer 1983,16 and fig. 17",,"lokalita určena podle Google Maps (chrám Dura Europos v Sýrii), DARMC location 22390",Průšová,
Zela,The Eastern Empire,123,857382,40.3,35.8833333,1,"Pontus, bridge",-,,30,300,,"Basil, 226.2, PG 32.843B",,,Juro,
"Amaseia (Pontus, north-central Turkey)",The Eastern Empire,117,857018,40.6549427,35.8280877,more_than_1,churches (plural) are razed or closed,in 320s,,320,329,,"Eusebius, HE 10.8; Vita Const. 2.2; Basil, Ep. 226.2, PC 32.843B",,,Průšová,
Panopolis (Egypt),The Eastern Empire,122,756613,26.565878,31.746075,1,an ekklesia mentioned on a certain street,end of 3rd c.,,275,300,,"White 1990, 122",,"pleiades: Panopolis, Panopolis/Schmin",Průšová,
"Antinoopolis (Saih Abada in Egypt, ca. 150 km south of the Fayum)",The Eastern Empire,117-118,756518,27.808099,30.879299,1,a basilica in a cemetery,from the last quarter of the 4th c.,,375,400,,"Grossman 1989, 2.1872",,,Průšová,
"Antinoopolis (Saih Abada in Egypt, ca. 150 km south of the Fayum)",The Eastern Empire,117-118,756518,27.808099,30.879299,1,a church inside the city,of the 4th c.,,301,400,,"Grossman 1989,2.1872",,,Průšová,
Oxyrhynchus (Egypt),The Eastern Empire,122,736983,28.542574,30.65172,1,"in POxy 2673 of a. 304, mention of an ekklesia in a nearby village, and POxy 903 mentioning another early 4th c. church building",early 4th c.,,300,325,,"White 1997,166","Tacoma 2006, 42f.","pleiades: Oxyrhynchus, Oxyrhynchus/Pemje",Průšová,
Oxyrhynchus (Egypt),The Eastern Empire,122,736983,28.542574,30.65172,1,"in POxy 2673 of a. 304, mention of an ekklesia in a nearby village, and POxy 903 mentioning another early 4th c. church building",mentioned on a papyrus from 304,,,304,,"White 1997,166","Tacoma 2006, 42f.","pleiades: Oxyrhynchus, Oxyrhynchus/Pemje",Průšová,
Alexandria,The Eastern Empire,117,727070,31.196651,29.9069855,1,"metropolitan church, ""the big one""",the period 313-28,,313,328,,"Athan., Apol. Ad Constantium 15",,,Mertel,
Alexandria,The Eastern Empire,117,727070,31.196651,29.9069855,1,"a church built by gift of a lay-person,",-,,-,-,,"Galvao-Sobrinho 2009, ch. 7 n. 1093, the Synaxarium Alexandrinum 2.71)",,,Mertel,
Alexandria,The Eastern Empire,117,727070,31.196651,29.9069855,9,nine churches in the city and its suburbs in the,teens of the 4th c,,310,319,,"Epiphanius, Adv. haer. 69.2 (PC 42.204B)",Martin (1996),,Mertel,
Jerusalem,The Eastern Empire,121,687928,31.776679,35.234156,1,"another Constantinian memorial church, the Eleona",-,,,,,"Deichmann 1939,115; Hoddinott 1963, 35, Tsafrir 1993,2; Wilkinson 1993, 25",,DARMC location 18044,Průšová,
Jerusalem,The Eastern Empire,121,687928,31.776679,35.234156,3,"Constantine's church of the Holy Sepulchre, the Anastasis or Martyrion, built on the site of the Aphrodite temple, with two pairs of side aisles. To its west, beyond a court, was a rotunda",-,,,,,"Euseb., VC 3.3.26f.; E-M. Abel in DACL 7.2313-17 S.v. ""Gerusaleme"", noting dose similarities with the Nativity church plan and, fig. 6178, showing the extended chancel and sole a; Deichmann 1939, 107; Orlandos 1952-57, 33, reconstruction; Coiiasnon 1974, 14ff., 36-44 passim; Corbo 1981 passim, with the Constantinian plan, vol. 2 pI. 3; Krautheimer 1983, 23; Maraval 1985, 67; Deichmann 1993, Abb. 16; Brenk 1995, 98 and Abb. 16; Brandenburg 1998, 18f., Abb. 3; M. E. Johnson 2000, 490 ","Kleinbauer 1987, 284; Brandenburg 1995a, 54; Peregrinatio Silviae [Egeriae] 24.8 and 25.3 (CSEL 39.73ff.)",DARMC location 18044,Průšová,
Jerusalem,The Eastern Empire,121,687928,31.776679,35.234156,more_than_1,"other Constantinian memorial churches, of the Nativity at Bethlehem with two sides aisles",razed in the 6th c.,,-,600,600,"MaravaI1985, 272f.; Nussbaum 1.69; Deichmann 1939, 33; Deichmann 1993, fig. 6; Tsafrir 1993, 7f.; Wilkinson 1993,25; Brenk 1995, 92 and Abb. 13",,DARMC location 18044,Průšová,
Lebaba (Deir Ali ca. 3 miles south of Damascus),The Eastern Empire,122,678265,33.280217,36.303296,1,"an inscription of 318/9 records the construction of an assembly place of the village Marcianists, synagoge kames Lebabon, by the presbyter",-,,318,319,,"LeBas-Waddington's Inscriptions grecques et latines de la Syrie no. 2558 in Harnack 1908, 1.124; White 1997, 140",,DARMC location 20428,Průšová,
Damascus,The Eastern Empire,120,678106,33.511612,36.309102,1,the Jupiter temple reconfigured for a church named after St. John,in late 4th c.,,375,400,,"Ulbert 1989,434",,DARMC location 12139,Průšová,
Damascus,The Eastern Empire,120,678106,33.511612,36.309102,2,"Ambrose says that two churches existed, then were burnt, and only one rebuilt",in the 360s,,360,369,,"L. J. Hall 2004, 185",,DARMC location 12139,Průšová,
Berytus (Beirut),The Eastern Empire,119,678060,33.897902,35.501176,,literary sources show a church of unknown date burnt in the 360s and soon rebuilt,"unknown date, burnt in the 360s",,-,369,369,"L. J. Hall 2004, 172f.",,pleiades: Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix,Průšová,
Serjilla,The Eastern Empire,123,668367,35.687471,36.599491,1,4th c. church,4th century,,300,400,,"Lassus 1947, 29ff. and fig. 12",,,Juro,
Resafa (Sergioupolis),The Eastern Empire,123,668354,35.628977,38.757169,1,a memorial chapel to St. Sergius outside the fortified town from shortly after his martyrdom,in the early 4th c.,,301,400,,"Ulbert 1989,445",,,Juro,
Jerade (Syria),The Eastern Empire,121,668273,35.731718,36.711832,1,on a single page a church,attributed to both the 4th c. and 5th c.,,301,400,,"Lassus 1947, 31; Sodini et al. 1989, 356f. and fig 88, from Tchalenko",,DARMC location 12924,Průšová,
"Huarte (Syria, ca. 15 km north of Apamea)",The Eastern Empire,121,668266,35.588322,36.458105,1,"a basilica with side aisles, conjectural beneath the later basilica",of the 390s,,390,399,,"Canivet 1980,88 fig. 1 and 91",,DARMC location 12802,Průšová,
"Kharab Shems (""Chems"", Syria)",The Eastern Empire,122,658507,36.340461,36.942943,1,a rural church,4th c. or 5th c.?,,301,500,,"Butler 1929, 31f.; Butler 1908-30, 323f., ill. 363; Butler et al., 1930, 72; Lassus 1940, 1.350; Lassus 1947, xxi and pl. x; Nussbaum 1965, 54f., 4th or 5th c.; Lassus 1967,40, 5th c.",,DARMC location 20382,Průšová,
Kalota (Syria),The Eastern Empire,122,658492,36.352635,36.936019,1,a church,-,,-,-,,"Butler 1908-30, 316 and plan, ilL 349 on p. 324",,DARMC location 20586,Průšová,
Allepo (Chaleb),The Eastern Empire,117,658409,36.199335,37.156825,1,"""great church""",by the end of the 4th c,,-,400,,"Kleinbauer 1973, 103",,,Mertel,
Selge,The Eastern Empire,123,639100,37.229444,31.127222,1,basilical church,around 400,,390,410,,"Vaes 1984-86,364,388",,,Juro,
Perge (Cilicia),The Eastern Empire,122,639048,36.961406,30.854274,1,a church,4th c.,,301,400,,"Herzfeld 1930, 123; Orlandos 1952-57, 49",,,Průšová,
Baris (Isparta just south of Seleuceia in Pisidia),The Eastern Empire,119,638790,37.761005,30.524116,1,a church built by the bishop,4th c.,,301,400,,"Rott 1908,9,50",,"DARMC location 34921, DARE location není k dispozici",Průšová,
Caesarea (Cappadocia),The Eastern Empire,119,629035,38.728033,35.484989,1,"shrine, a ""vast edifice"" to St. Mamas",dating from ?345,345,,,,"Maraval 1985,371",,"DARMC location 34876, poloha určena podle Cappadocia na mapách Google jako Turecko a podle toho určena destinace ve vnitrozemí a ne na pobřeží, v pleiades jako Mazaka/Eusebeia/Caesarea",Průšová,
Ancyra,The Eastern Empire,117,619103,39.944387,32.858128,more_than_1,"in city and its territory, Novatian churches",in mid-4th c.,,325,374,,"Soz., HE 8.1, PG 67.1S12C",,,Průšová,
Seluceia,The Eastern Empire,123,599987,37.859752,27.833862,1,a basilica with side aisles,3rd quarter of the 4th c,,350,375,,"Maraval1985,",,,Juro,
Ephesus,The Eastern Empire,120,599612,37.941944,27.339722,1,name and site of any 4th c. church unknown; the St. Mary cathedral alleged to date to the 4th c. but the suggestion cannot be right,alleged to date to the 4th c.,,,400,,"Karwiese 1989, 27","Sodini 1989,421",,Průšová,
Sardis,The Eastern Empire,123,550867,38.488314,28.040286,1,church inside a temple enclosure,mid -4th c.,,325,375,,"Nussbaum 1965, 1.126",,"v pleiades 2 možnosti, každá na opačném břehu řeky",Juro,
Pergamum,The Eastern Empire,122,550812,39.1325,27.184167,1,a church built out of a temple,ca. 400,,395,404,,"Deubner 1977-78, 228 plan, 249",,,Průšová,
Constantinople,"Greece including Salona, and lower Danube",124,520998,41.008548,28.979938,1,the Constantinian cemetery Church of the Holy Apostles,-,,-,-,,"(Krautheimer 1983, 56; Hoddinott 1963, 43; C. and 1. Pietri 1990,208; Brandenburg 1995, 71; and above, ch. 2 n. 3",,"pleiades: Constantinopolis, pleiades: location Hagia Sofia; known only from literary
 sources",Kneblová,
Constantinople,"Greece including Salona, and lower Danube",124,520998,41.008548,28.979938,1,Hagia Sophia,"begun 326/330, collapsed and was rebuilt and consecrated in 360; destroyed by fire in 404; and once again rebuilt to a new plan",,,,,"(cf. ch. 2 n. 3; Dagron 1974, 399 on the collapse",,"pleiades: Constantinopolis, pleiades: location Hagia Sofia",Kneblová,
Constantinople,"Greece including Salona, and lower Danube",124,520998,41.008548,28.979938,1,"Hagia Eirene built by Constantine, a basilica",-,,-,-,,"Hoddinott 1963,43",,"pleiades: Constantinopolis, pleiades: location Hagia Sofia; still standing in 381",Kneblová,
Constantinople,"Greece including Salona, and lower Danube",124,520998,41.008548,28.979938,1,several Novatian churches,in the mid-4th c.,,325,374,,"SOc., HE 2.38, PG 67.528B, and elsewhere also speaking of churches in the plural",,"pleiades: Constantinopolis, pleiades: location Hagia Sofia",Kneblová,
Constantinople,"Greece including Salona, and lower Danube",124,520998,41.008548,28.979938,1,martyria plurima,toward the end of the 4th c.,,375,400,,"Peregrinatio S. Silviae [Egeriae] 23.9, CSEL 39.72",,"pleiades: Constantinopolis, pleiades: location Hagia Sofia",Kneblová,
Chalcedon,The Eastern Empire,120,520988,40.983393,29.025789,1,"St. Euphemia's shrine, where supplicants came with their prayers and requests and where famous miracles were performed. It was a complex of three buildings: an open court surrounded by porticoes, leading to a closed hall of similar proportions, opening on a rotunda containing the silver casket in which lay the martyr's remains, accessible to infusions by a hole in the top through which the saint's blood was regularly recovered by the local bishop with a sponge. Since the middle structure could hold the thousand or so clergy attending the Council in 451, it must have been as large as any church in the East",before (perhaps many years before) 387,,-,387,,"Evagrius, HE 2.3, PC 86.2193Af.; MacMullen 2006, 4, 79, 84; Dictionnaire d'histoire et de geographique ecclesiastiques 15, 1963, 1409; Lexikon fur Theologie und Kirche 3, 1995,991",,DARMC location 2259,Průšová,
Nicomedia,The Eastern Empire,122,511337,40.76445,29.923486,1,a large prominent church near city center,in early 4th c.,,300,325,,"Lactantius, De mort. persecut. 12.3f., PL 7.213B",,,Průšová,
Cyzicus,The Eastern Empire,120,511218,40.389806,27.874127,1,a church,in mid-4th c.,,325,374,,"SOc., HE 3.11, PC 67A09B",,pleiades: An ancient city of Mysia in Anatolia.,Průšová,
Thasos,"Greece including Salona, and lower Danube",126,501634,40.78201,24.717535,1,a small basilica on the agora,the 4th c.,,301,399,,"Hoddinott 1963, 106",,,Kneblová,
Philippi,"Greece including Salona, and lower Danube",124,501482,41.010981,24.285343,1,a basilica,-,,-,-,,"Pelekanides 1961, 117 with plan, 173, and passim; Hoddinott 1963, 98ff., fig. 44, and 102ff.; Pilhofer 1995-2000,2.337",,"pleiades: Krenides/Philippi/Col. Augusta Iulia Philippensis; discovered in 1956 with ambo intruding far into the
 nave",Kneblová,
Philippi,"Greece including Salona, and lower Danube",125,501482,41.010981,24.285343,1,a simple hall church,-,,-,-,,"Gounaris 1984, 137; White 1997, 184f.; Duval 1999, 19 fig. 23; Pilhofer 1995-2000, 2.337f.",,pleiades: Krenides/Philippi/Col. Augusta Iulia Philippensis;,Kneblová,
Philippi,"Greece including Salona, and lower Danube",125,501482,41.010981,24.285343,1,an octagonal church,-,,-,-,,"ch. 2 nn. 10f.; Pelekanides 1978, 393; Barnea 1984, 660",,pleiades: Krenides/Philippi/Col. Augusta Iulia Philippensis;,Kneblová,
Stobi (in modern Macedonia),"Greece including Salona, and lower Danube",126,491656,41.531391,21.977716,1,small cathedral,in the 2nd half of the 4th c.,,351,399,,"Wiseman 2006, 795-99",,,Kneblová,
Naples,Italy with Sardinia and Corsica,134,433014,40.839995,14.25287,1,the baptistery S. Giovanni built by bishop Severus is West,364-410,,364,410,,"Di Stefano 1975, 145",,pleiades: Parthenope/Neapolis (modern Naples/Napoli),Milan,
Naples,Italy with Sardinia and Corsica,134,433014,40.839995,14.25287,1,a Constantinian basilica only known from a written mention,-,,,,,"C. and L. Pietri 1990, 137",,pleiades: Parthenope/Neapolis (modern Naples/Napoli),Milan,
Naples,Italy with Sardinia and Corsica,135,433014,40.839995,14.25287,1,"S. Restituta, Constantinian, three-aisled",-,,,,,"Di Stefano 1975, 147, plan",,pleiades: Parthenope/Neapolis (modern Naples/Napoli),Milan,
